id_grupo,id_curso,id_periodo,id_sede,id_docente,id_modalidad,id_horario,numero_grupo,capacidad_corte
1,1,1,1,11,1,1,1,5
2,1,1,1,4,2,2,2,18
3,1,1,1,8,3,3,3,18
4,1,1,2,13,1,1,1,14
5,1,1,2,9,1,2,2,18
6,1,1,2,1,2,3,3,14
7,1,1,3,8,2,1,1,10
8,1,1,3,1,1,2,2,18
9,1,1,3,17,2,3,3,10
10,2,1,1,14,2,1,1,5
11,2,1,1,8,1,2,2,10
12,2,1,1,14,2,3,3,18
13,2,1,2,1,1,1,1,14
14,2,1,2,10,2,2,2,10
15,2,1,2,10,1,3,3,10
16,2,1,3,15,2,1,1,18
17,2,1,3,5,2,2,2,14
18,2,1,3,13,3,3,3,18
19,3,1,1,12,2,1,1,5
20,3,1,1,18,1,2,2,18
21,3,1,1,17,3,3,3,10
22,3,1,2,4,3,1,1,18
23,3,1,2,2,1,2,2,10
24,3,1,2,12,2,3,3,18
25,3,1,3,15,3,1,1,10
26,3,1,3,17,1,2,2,14
27,3,1,3,3,2,3,3,14
28,4,1,1,8,2,1,1,5
29,4,1,1,16,2,2,2,10
30,4,1,1,11,2,3,3,18
31,4,1,2,6,3,1,1,18
32,4,1,2,7,2,2,2,18
33,4,1,2,12,1,3,3,18
34,4,1,3,12,3,1,1,10
35,4,1,3,14,1,2,2,18
36,4,1,3,4,1,3,3,18
37,5,1,1,13,3,1,1,5
38,5,1,1,8,1,2,2,18
39,5,1,1,5,2,3,3,18
40,5,1,2,17,3,1,1,18
41,5,1,2,14,3,2,2,10
42,5,1,2,4,2,3,3,10
43,5,1,3,2,1,1,1,14
44,5,1,3,5,3,2,2,14
45,5,1,3,11,1,3,3,18
46,6,1,1,6,1,1,1,5
47,6,1,1,8,3,2,2,18
48,6,1,1,14,3,3,3,10
49,6,1,2,8,1,1,1,10
50,6,1,2,3,2,2,2,10
51,6,1,2,3,1,3,3,18
52,6,1,3,2,3,1,1,14
53,6,1,3,14,2,2,2,18
54,6,1,3,9,1,3,3,14
55,7,1,1,15,2,1,1,5
56,7,1,1,4,1,2,2,10
57,7,1,1,13,1,3,3,14
58,7,1,2,4,2,1,1,18
59,7,1,2,12,3,2,2,14
60,7,1,2,14,2,3,3,10
61,7,1,3,9,2,1,1,10
62,7,1,3,1,3,2,2,10
63,7,1,3,2,3,3,3,14
64,8,1,1,6,3,1,1,5
65,8,1,1,13,3,2,2,14
66,8,1,1,11,2,3,3,14
67,8,1,2,18,3,1,1,10
68,8,1,2,5,3,2,2,10
69,8,1,2,16,3,3,3,10
70,8,1,3,3,1,1,1,14
71,8,1,3,16,3,2,2,14
72,8,1,3,3,2,3,3,18
73,9,1,1,3,3,1,1,5
74,9,1,1,5,3,2,2,14
75,9,1,1,16,1,3,3,14
76,9,1,2,13,3,1,1,14
77,9,1,2,2,2,2,2,14
78,9,1,2,8,1,3,3,14
79,9,1,3,11,3,1,1,14
80,9,1,3,11,3,2,2,10
81,9,1,3,5,2,3,3,12
82,1,2,1,11,2,1,1,5
83,1,2,1,4,2,2,2,18
84,1,2,1,14,3,3,3,10
85,1,2,2,17,3,1,1,10
86,1,2,2,5,3,2,2,10
87,1,2,2,18,1,3,3,14
88,1,2,3,15,3,1,1,10
89,1,2,3,4,2,2,2,14
90,1,2,3,11,3,3,3,14
91,2,2,1,2,3,1,1,5
92,2,2,1,12,2,2,2,10
93,2,2,1,2,3,3,3,14
94,2,2,2,3,2,1,1,10
95,2,2,2,1,1,2,2,10
