id_matricula,id_solicitud,id_grupo,fecha,estado,nota,fecha_retiro
1,1,70,2024-02-05,APROBADO,91.6,
2,2,32,2024-02-11,REPROBADO,64.48,
3,3,7,2024-02-06,REPROBADO,41.69,
4,4,53,2024-02-08,RETIRADO,,2024-03-14
5,5,75,2024-02-09,APROBADO,91.73,
6,6,25,2024-02-09,APROBADO,77.42,
7,7,12,2024-02-02,REPROBADO,22.63,
8,8,40,2024-02-04,APROBADO,76.59,
9,9,55,2024-02-10,APROBADO,73.71,
10,10,4,2024-02-10,APROBADO,98.66,
11,11,65,2024-02-02,APROBADO,74.77,
12,14,62,2024-02-04,APROBADO,80.56,
13,15,17,2024-02-09,APROBADO,89.31,
14,16,65,2024-02-12,APROBADO,91.69,
15,17,12,2024-02-10,REPROBADO,65.4,
16,18,30,2024-02-07,APROBADO,93.03,
17,19,64,2024-02-11,REPROBADO,68.41,
18,20,19,2024-02-07,APROBADO,76.06,
19,21,30,2024-02-07,APROBADO,82.18,
20,22,20,2024-02-02,APROBADO,76.4,
21,23,37,2024-02-05,APROBADO,93.7,
22,24,59,2024-02-05,APROBADO,70.02,
23,25,52,2024-02-11,APROBADO,73.89,
24,26,59,2024-02-09,APROBADO,83.7,
25,27,28,2024-02-08,APROBADO,78.73,
26,29,19,2024-02-03,APROBADO,94.54,
27,30,37,2024-02-09,REPROBADO,47.73,
28,31,13,2024-02-05,APROBADO,99.03,
29,32,6,2024-02-07,APROBADO,86.11,
30,33,11,2024-02-07,REPROBADO,48.22,
31,35,30,2024-02-04,RETIRADO,,2024-04-19
32,36,37,2024-02-09,APROBADO,77.51,
33,37,7,2024-02-06,APROBADO,71.14,
34,38,40,2024-02-11,APROBADO,93.66,
35,39,19,2024-02-02,APROBADO,81.32,
36,40,55,2024-02-11,APROBADO,88.58,
37,41,56,2024-02-10,REPROBADO,47.96,
38,42,65,2024-02-02,APROBADO,87.96,
39,43,28,2024-02-04,APROBADO,94.88,
40,44,19,2024-02-09,APROBADO,70.18,
41,45,64,2024-02-12,REPROBADO,53.33,
42,46,46,2024-02-12,APROBADO,87.23,
43,47,57,2024-02-06,APROBADO,91.29,
44,48,43,2024-02-05,APROBADO,91.65,
45,49,47,2024-02-10,APROBADO,75.44,
46,50,14,2024-02-10,APROBADO,70.88,
47,51,1,2024-02-07,APROBADO,85.34,
48,53,28,2024-02-04,APROBADO,82.94,
49,54,53,2024-02-09,APROBADO,72.66,
50,55,78,2024-02-04,APROBADO,92.42,
51,57,1,2024-02-02,REPROBADO,51.25,
52,58,74,2024-02-11,APROBADO,95.26,
53,59,56,2024-02-08,RETIRADO,,2024-03-06
54,60,31,2024-02-09,APROBADO,92.32,
55,61,55,2024-02-04,REPROBADO,68.99,
56,62,20,2024-02-12,REPROBADO,24.24,
57,63,34,2024-02-11,RETIRADO,,2024-03-20
58,64,74,2024-02-05,APROBADO,93.74,
59,65,17,2024-02-09,APROBADO,82.21,
60,66,64,2024-02-10,APROBADO,80.19,
61,67,55,2024-02-03,APROBADO,74.38,
62,68,2,2024-02-05,APROBADO,77.29,
63,69,4,2024-02-07,APROBADO,84.91,
64,70,10,2024-02-09,APROBADO,71.15,
65,71,32,2024-02-06,APROBADO,99.44,
66,72,50,2024-02-10,APROBADO,81.31,
67,73,37,2024-02-05,RETIRADO,,2024-03-25
68,74,55,2024-02-11,RETIRADO,,2024-03-07
69,75,11,2024-02-06,REPROBADO,20.07,
70,76,47,2024-02-11,APROBADO,79.27,
71,77,47,2024-02-05,APROBADO,85.95,
72,78,69,2024-02-10,APROBADO,92.94,
73,79,26,2024-02-11,APROBADO,87.75,
74,80,10,2024-02-08,APROBADO,73.03,
75,81,64,2024-02-10,APROBADO,75.55,
76,83,1,2024-02-05,APROBADO,96.61,
77,85,19,2024-02-12,APROBADO,79.11,
78,87,48,2024-02-11,REPROBADO,54.56,
