id_solicitud,id_estudiante,id_periodo,id_curso,id_sede,id_horario,fecha,resultado
1,143,1,8,3,1,2024-02-04,ASIGNADA
2,143,1,4,2,2,2024-02-10,ASIGNADA
3,143,1,1,3,1,2024-02-05,ASIGNADA
4,143,1,6,3,2,2024-02-07,ASIGNADA
5,219,1,9,1,3,2024-02-08,ASIGNADA
6,219,1,3,3,1,2024-02-08,ASIGNADA
7,219,1,2,1,3,2024-02-01,ASIGNADA
8,219,1,5,2,1,2024-02-03,ASIGNADA
9,196,1,7,1,1,2024-02-09,ASIGNADA
10,196,1,1,2,1,2024-02-09,ASIGNADA
11,196,1,8,1,2,2024-02-01,ASIGNADA
12,196,1,9,1,1,2024-02-03,DESISTIDA
13,35,1,3,2,1,2024-02-04,NO_ELEGIBLE
14,35,1,7,3,2,2024-02-03,ASIGNADA
15,35,1,2,3,2,2024-02-08,ASIGNADA
16,35,1,8,1,2,2024-02-11,ASIGNADA
17,14,1,2,1,3,2024-02-09,ASIGNADA
18,14,1,4,1,3,2024-02-06,ASIGNADA
19,14,1,8,1,1,2024-02-10,ASIGNADA
20,14,1,3,1,1,2024-02-06,ASIGNADA
21,93,1,4,1,3,2024-02-06,ASIGNADA
22,93,1,3,1,2,2024-02-01,ASIGNADA
23,93,1,5,1,1,2024-02-04,ASIGNADA
24,93,1,7,2,2,2024-02-04,ASIGNADA
25,24,1,6,3,1,2024-02-10,ASIGNADA
26,24,1,7,2,2,2024-02-08,ASIGNADA
27,24,1,4,1,1,2024-02-07,ASIGNADA
28,24,1,3,3,1,2024-02-09,NO_ELEGIBLE
29,81,1,3,1,1,2024-02-02,ASIGNADA
30,81,1,5,1,1,2024-02-08,ASIGNADA
31,81,1,2,2,1,2024-02-04,ASIGNADA
32,81,1,1,2,3,2024-02-06,ASIGNADA
33,140,1,2,1,2,2024-02-06,ASIGNADA
34,140,1,7,1,1,2024-02-03,DESISTIDA
35,140,1,4,1,3,2024-02-03,ASIGNADA
36,140,1,5,1,1,2024-02-08,ASIGNADA
37,128,1,1,3,1,2024-02-05,ASIGNADA
38,128,1,5,2,1,2024-02-10,ASIGNADA
39,128,1,3,1,1,2024-02-01,ASIGNADA
40,128,1,7,1,1,2024-02-10,ASIGNADA
41,152,1,7,1,2,2024-02-09,ASIGNADA
