id_estudiante,id_periodo,id_carrera,cohorte
1,1,1,2023-1
2,1,2,2023-1
3,1,3,2023-1
4,1,1,2023-1
5,1,2,2023-1
6,1,3,2023-1
7,1,1,2023-1
8,1,2,2023-1
9,1,3,2023-1
10,1,1,2023-1
11,1,2,2023-1
12,1,3,2023-1
13,1,1,2023-1
14,1,2,2023-1
15,1,3,2023-1
16,1,1,2023-1
17,1,2,2023-1
18,1,3,2023-1
19,1,1,2023-1
20,1,2,2023-1
21,1,3,2023-1
22,1,1,2023-1
23,1,2,2023-1
24,1,3,2023-1
25,1,1,2023-1
26,1,2,2023-1
27,1,3,2023-1
28,1,1,2023-1
29,1,2,2023-1
30,1,3,2023-1
31,1,1,2023-1
32,1,2,2023-1
33,1,3,2023-1
34,1,1,2023-1
35,1,2,2023-1
36,1,3,2023-1
37,1,1,2023-1
38,1,2,2023-1
39,1,3,2023-1
40,1,1,2023-1
41,1,2,2023-1
42,1,3,2023-1
43,1,1,2023-1
44,1,2,2023-1
45,1,3,2023-1
46,1,1,2023-1
47,1,2,2023-1
48,1,3,2023-1
49,1,1,2023-1
50,1,2,2023-1
51,1,3,2023-1
52,1,1,2023-1
53,1,2,2023-1
54,1,3,2023-1
55,1,1,2023-1
56,1,2,2023-1
57,1,3,2023-1
58,1,1,2023-1
59,1,2,2023-1
60,1,3,2023-1
61,1,1,2023-1
62,1,2,2023-1
63,1,3,2023-1
64,1,1,2023-1
65,1,2,2023-1
66,1,3,2023-1
67,1,1,2023-1
68,1,2,2023-1
69,1,3,2023-1
70,1,1,2023-1
71,1,2,2023-1
72,1,3,2023-1
73,1,1,2023-1
74,1,2,2023-1
75,1,3,2023-1
76,1,1,2023-1
77,1,2,2023-1
78,1,3,2023-1
79,1,1,2023-1
80,1,2,2023-1
81,1,3,2023-1
82,1,1,2023-1
83,1,2,2023-1
84,1,3,2023-1
85,1,1,2023-1
86,1,2,2023-1
87,1,3,2023-1
88,1,1,2023-1
89,1,2,2023-1
90,1,3,2023-1
91,1,1,2023-1
92,1,2,2023-1
93,1,3,2023-1
94,1,1,2023-1
95,1,2,2023-1
96,1,3,2023-1
97,1,1,2023-1
98,1,2,2023-1
99,1,3,2023-1
100,1,1,2023-1
101,1,2,2023-1
102,1,3,2023-1
103,1,1,2023-1
104,1,2,2023-1
105,1,3,2023-1
106,1,1,2023-1
107,1,2,2023-1
108,1,3,2023-1
109,1,1,2023-1
110,1,2,2023-1
111,1,3,2023-1
112,1,1,2023-1
113,1,2,2023-1
114,1,3,2023-1
115,1,1,2023-1
116,1,2,2023-1
117,1,3,2023-1
118,1,1,2023-1
119,1,2,2023-1
120,1,3,2023-1
121,1,1,2024-1
122,1,2,2024-1
123,1,3,2024-1
124,1,1,2024-1
125,1,2,2024-1
126,1,3,2024-1
127,1,1,2024-1
128,1,2,2024-1
129,1,3,2024-1
130,1,1,2024-1
131,1,2,2024-1
132,1,3,2024-1
133,1,1,2024-1
134,1,2,2024-1
135,1,3,2024-1
136,1,1,2024-1
137,1,2,2024-1
138,1,3,2024-1
139,1,1,2024-1
140,1,2,2024-1
141,1,3,2024-1
142,1,1,2024-1
143,1,2,2024-1
144,1,3,2024-1
145,1,1,2024-1
146,1,2,2024-1
147,1,3,2024-1
148,1,1,2024-1
149,1,2,2024-1
