table_name,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable
"carrera","id_carrera","integer",,"32","0","NO"
"carrera","nombre","character varying","100",,,"NO"
"curso","id_curso","integer",,"32","0","NO"
"curso","codigo","character varying","12",,,"NO"
"curso","nombre","character varying","100",,,"NO"
"curso","creditos","smallint",,"16","0","NO"
"docente","id_docente","integer",,"32","0","NO"
"docente","alias","character varying","50",,,"NO"
"estudiante","id_estudiante","integer",,"32","0","NO"
"estudiante","alias","character varying","30",,,"NO"
"grupo","id_grupo","integer",,"32","0","NO"
"grupo","id_curso","integer",,"32","0","NO"
"grupo","id_periodo","integer",,"32","0","NO"
"grupo","id_sede","integer",,"32","0","NO"
"grupo","id_docente","integer",,"32","0","NO"
"grupo","id_modalidad","integer",,"32","0","NO"
"grupo","id_horario","integer",,"32","0","NO"
"grupo","numero_grupo","smallint",,"16","0","NO"
"grupo","capacidad_corte","smallint",,"16","0","NO"
"horario","id_horario","integer",,"32","0","NO"
"horario","franja","character varying","30",,,"NO"
"matricula","id_matricula","integer",,"32","0","NO"
"matricula","id_solicitud","integer",,"32","0","NO"
"matricula","id_grupo","integer",,"32","0","NO"
"matricula","fecha","date",,,,"NO"
"matricula","estado","character varying","12",,,"NO"
"matricula","nota","numeric",,"5","2","YES"
"matricula","fecha_retiro","date",,,,"YES"
"modalidad","id_modalidad","integer",,"32","0","NO"
"modalidad","nombre","character varying","30",,,"NO"
"periodo","id_periodo","integer",,"32","0","NO"
"periodo","codigo","character varying","10",,,"NO"
"periodo","anio","integer",,"32","0","NO"
"periodo","numero","smallint",,"16","0","NO"
"periodo","inicio","date",,,,"NO"
"periodo","corte_matricula","date",,,,"NO"
"periodo","fin","date",,,,"NO"
"sede","id_sede","integer",,"32","0","NO"
"sede","nombre","character varying","80",,,"NO"
"solicitud","id_solicitud","integer",,"32","0","NO"
"solicitud","id_estudiante","integer",,"32","0","NO"
"solicitud","id_periodo","integer",,"32","0","NO"
"solicitud","id_curso","integer",,"32","0","NO"
"solicitud","id_sede","integer",,"32","0","NO"
"solicitud","id_horario","integer",,"32","0","NO"
"solicitud","fecha","date",,,,"NO"
"solicitud","resultado","character varying","20",,,"NO"
"trayectoria","id_estudiante","integer",,"32","0","NO"
"trayectoria","id_periodo","integer",,"32","0","NO"
"trayectoria","id_carrera","integer",,"32","0","NO"
"trayectoria","cohorte","character varying","10",,,"NO"
