tabla,nombre,regla
"carrera","carrera_id_carrera_not_null","NOT NULL id_carrera"
"carrera","carrera_nombre_key","UNIQUE (nombre)"
"carrera","carrera_nombre_not_null","NOT NULL nombre"
"carrera","carrera_pkey","PRIMARY KEY (id_carrera)"
"curso","curso_codigo_key","UNIQUE (codigo)"
"curso","curso_codigo_not_null","NOT NULL codigo"
"curso","curso_creditos_check","CHECK (((creditos >= 1) AND (creditos <= 12)))"
"curso","curso_creditos_not_null","NOT NULL creditos"
"curso","curso_id_curso_not_null","NOT NULL id_curso"
"curso","curso_nombre_not_null","NOT NULL nombre"
"curso","curso_pkey","PRIMARY KEY (id_curso)"
"docente","docente_alias_key","UNIQUE (alias)"
"docente","docente_alias_not_null","NOT NULL alias"
"docente","docente_id_docente_not_null","NOT NULL id_docente"
"docente","docente_pkey","PRIMARY KEY (id_docente)"
"estudiante","estudiante_alias_key","UNIQUE (alias)"
"estudiante","estudiante_alias_not_null","NOT NULL alias"
"estudiante","estudiante_id_estudiante_not_null","NOT NULL id_estudiante"
"estudiante","estudiante_pkey","PRIMARY KEY (id_estudiante)"
"grupo","grupo_capacidad_corte_check","CHECK ((capacidad_corte > 0))"
"grupo","grupo_capacidad_corte_not_null","NOT NULL capacidad_corte"
"grupo","grupo_id_curso_fkey","FOREIGN KEY (id_curso) REFERENCES curso(id_curso)"
"grupo","grupo_id_curso_id_periodo_id_sede_numero_grupo_key","UNIQUE (id_curso, id_periodo, id_sede, numero_grupo)"
"grupo","grupo_id_curso_not_null","NOT NULL id_curso"
"grupo","grupo_id_docente_fkey","FOREIGN KEY (id_docente) REFERENCES docente(id_docente)"
"grupo","grupo_id_docente_not_null","NOT NULL id_docente"
"grupo","grupo_id_grupo_not_null","NOT NULL id_grupo"
"grupo","grupo_id_horario_fkey","FOREIGN KEY (id_horario) REFERENCES horario(id_horario)"
"grupo","grupo_id_horario_not_null","NOT NULL id_horario"
"grupo","grupo_id_modalidad_fkey","FOREIGN KEY (id_modalidad) REFERENCES modalidad(id_modalidad)"
"grupo","grupo_id_modalidad_not_null","NOT NULL id_modalidad"
"grupo","grupo_id_periodo_fkey","FOREIGN KEY (id_periodo) REFERENCES periodo(id_periodo)"
"grupo","grupo_id_periodo_not_null","NOT NULL id_periodo"
"grupo","grupo_id_sede_fkey","FOREIGN KEY (id_sede) REFERENCES sede(id_sede)"
"grupo","grupo_id_sede_not_null","NOT NULL id_sede"
"grupo","grupo_numero_grupo_check","CHECK ((numero_grupo > 0))"
"grupo","grupo_numero_grupo_not_null","NOT NULL numero_grupo"
"grupo","grupo_pkey","PRIMARY KEY (id_grupo)"
"horario","horario_franja_key","UNIQUE (franja)"
"horario","horario_franja_not_null","NOT NULL franja"
"horario","horario_id_horario_not_null","NOT NULL id_horario"
"horario","horario_pkey","PRIMARY KEY (id_horario)"
"matricula","matricula_check","CHECK (((((estado)::text = 'APROBADO'::text) AND (nota IS NOT NULL) AND (nota >= (70)::numeric) AND (fecha_retiro IS NULL)) OR (((estado)::text = 'REPROBADO'::text) AND (nota IS NOT NULL) AND (nota < (70)::numeric) AND (fecha_retiro IS NULL)) OR (((estado)::text = 'RETIRADO'::text) AND (nota IS NULL) AND (fecha_retiro IS NOT NULL) AND (fecha_retiro >= fecha)) OR (((estado)::text = 'PENDIENTE'::text) AND (nota IS NULL) AND (fecha_retiro IS NULL))))"
"matricula","matricula_estado_check","CHECK (((estado)::text = ANY ((ARRAY['APROBADO'::character varying, 'REPROBADO'::character varying, 'RETIRADO'::character varying, 'PENDIENTE'::character varying])::text[])))"
"matricula","matricula_estado_not_null","NOT NULL estado"
